Jose,A. Ferrer,WSN,4.1,63,29,34,0,0.31,0.19,0,3.06,0,3.43,0.07,0.1,0.3,18.9,0.5,72,24017,678606,1
Fernando,Abad,COL,5,116,46,70,5.4,0.08,0.08,3.6,8.89,108,7.2,-0.02,-0.1,0,19.2,0.41,57,4994,472551,0
Andrew,Abbott,CIN,41.2,674,240,434,2.38,0.29,0.08,1.3,3.86,51,4.37,1.2,0.9,1.8,17.9,0.43,87,29911,671096,0
Cory,Abbott,WSN,17,294,112,182,4.24,0.18,0.12,1.06,4.88,96,4.85,-0.25,0,0.1,18.1,0.35,97,20277,676265,4
Bryan,Abreu,HOU,42,746,282,464,2.79,0.37,0.1,1.07,3.22,66,2.89,-0.09,0.6,0.8,19.9,0.34,139,16609,650556,3
Albert,Abreu,NYY,38.1,693,273,420,4.46,0.25,0.12,1.17,4.67,106,4.56,0.1,-0.1,-0.5,19.1,0.41,105,17485,656061,1
Domingo,Acevedo,OAK,9.1,177,64,113,10.61,0.15,0.04,1.93,5.54,264,5.32,-1.3,-0.1,-0.8,20.5,0.32,86,17092,642758,0
Garrett,Acton,OAK,5.2,124,50,74,12.71,0.16,0.16,4.76,11.58,316,8.08,-0.51,-0.4,-0.5,19.6,0.38,128,27583,670183,2
Jason,Adam,TBR,36.1,640,242,398,2.97,0.29,0.1,0.99,4.31,74,4.19,-0.04,0.1,0.5,21.4,0.4,124,11861,592094,1
Austin,Adams,ARI,12.1,249,98,151,3.65,0.34,0.11,0,2.32,83,3.74,0.13,0.3,0.2,18.8,0.33,91,13801,613534,0
Tyler,Adcock,SEA,12,138,41,97,0,0.18,0,0,2.12,0,3.45,0.37,0.3,0.6,18.5,0.44,108,25651,686654,0
Joan,Adon,WSN,3,46,14,32,9,0.17,0,6,10.62,205,5.68,-0.13,-0.1,-0.1,13.9,0.3,85,22925,672851,0
Keegan,Akin,BAL,23.2,452,133,319,6.85,0.24,0.06,0.76,2.99,162,3.85,-0.24,0.4,-0.8,16.7,0.49,104,19362,669211,0
Hanser,Alberto,CHW,1.2,33,13,20,21.6,0.08,0.08,5.4,11.69,507,7.72,0,-0.1,-0.1,14,0.4,,11902,593643,1
Jorge,Alcala,MIN,15.1,281,111,170,6.46,0.18,0.12,2.35,6.87,155,5.67,-0.13,-0.3,-0.3,18.7,0.33,109,19459,660896,4
Sandy,Alcantara,MIA,114.1,1700,541,1159,4.72,0.2,0.07,0.87,3.87,112,4.05,-0.87,1.9,1,17.2,0.4,109,18684,645261,3
Scott,Alexander,SFG,23.2,312,105,207,3.42,0.13,0.05,0.38,3.58,80,3.98,0.69,0.2,0.3,20.2,0.34,88,10591,518397,0
Tyler,Alexander,DET,44,679,202,477,4.5,0.24,0.03,1.64,4.13,108,4.09,0.35,0,-0.1,17.9,0.4,86,17735,641302,0
Kolby,Allard,ATL,9.2,145,47,98,2.79,0.29,0.05,0.93,2.98,63,3.62,0.1,0.3,0.3,18.6,0.36,74,18694,663465,0
Logan,Allen,CLE,62.1,1112,389,723,3.47,0.23,0.09,0.87,3.72,82,4.14,0.1,1.2,1.5,15.4,0.4,87,27589,671106,2
Yency,Almonte,LAD,36.2,616,237,379,5.15,0.23,0.1,1.23,4.65,121,4.53,0.03,0,-0.4,17.5,0.28,117,15068,622075,1
